25,4,a younger brother with the d.a
216,7,julie kavner and jerry stiller lend their distinctive voice to two new character: timon's mother and uncle.
245,2,i do not want to reveal the entire story because it is a verhoeven movie and the end of the film is really surprising
315,3,"when ""silverlake life"" was originally released, i was deeply involved in hiv/aid education and health care, volunteering as a counselor at an hiv/aid clinic."
397,4,"question...did anyone else sit through all 4 hour of ""the swarm"" ?"
510,2,who has not go through this?
1488,10,i studied spanish in high school as well as in college
1618,0,"after going for a bike ride that day, lying beside a lake in a nature reserve, spending half an hour feeding and talking to a donkey who lived in a beautiful field with a small wood in it, this film made absolute sense to me"
2016,23,"just look at how the medium covered this year's oscar, giving much attention to the elia kazan scandal"
2269,0,"i saw this movie on the bifff festival in brussel, spring 2004"
2312,1,"by the way, did you know that annie hall was first conceived as a murder mystery?"
2331,6,what a euphoric way to spend your youthful day
2351,10,did i say that?
2361,3,"i have seen other movie depicting the history of this famous summer and in my opinion, none of the other can compare."
2375,1,over 20 year later they agree to get together for a tv special...but find out they still hate each other.
2386,5,"the idea was, that by emphasizing how short-lived are even the mightiest work of human, a sense of the timelessness of art would be expressed"
2432,3,"the segment are devised around the same theme, ""love in paris"", but the resemblance ends there"
2446,8,"and there is nothing they can do about it, it is something they have to live with."
2479,6,"and it does not conform to the hollywood norm (you will see what i mean, when you see the film)when i was a kid, i remember seeing advertisement for the film."
2497,1,"this allowed me to judge the movie without being tainted by what was or was not in the musical (however, it tainted me when i watched the musical :) )"
2566,5,"she wears a very flattering make-up and has very attractive hairstyle and oh, those lovely big eye (especially, in the restaurant scenes that take place in london's soho)."
2570,1,i saw it last night and woke up today thinking about it.
2705,3,"tracy's fidelity to tess is tested by the tempting advance of breathless mahoney (madonna), who is also big boy's main squeeze."
2706,5,"in the end he comes to realize that his wife, like the land, is the source of his wealth, happiness and immortality."
2735,0,"i just went to a screening of the film during expresion en corto, a short film festival in guanajuato, mexico."
2744,6,an armband bought for the girl by the boxer continues to pop up throughout the movie as a symbol of her unfaithfulness.
2809,4,"basically the movie takes place in ireland, and gypo turn in a friend in the rebel movement to the english to collect 20 pound to give to his girlfriend"
2930,7,"this means that the photo is not just an iconic picture of reality (by which reality turns into a sign), but becomes an alternative form of reality which can change as the ""real"" reality can."
2968,1,"i have seen many, many film and have reviewed a great deal of them, in print."
3081,1,"set in the distant past after the ice age, it is a prehistoric sword-and-sorcery quest between good and evil."
3118,5,"bauer is called to his office in order to discover who is behind all this and, at the same time, figure his daughter's path to the unkwown after fleeing from her bedroom."
3151,4,"the story starts off with dell henderson (colonel pepper) driving daughter davy into hollywood, certain she will become tinseltown's newest sensation"
3167,0,i am normally skeptical about watching film or mini-series based on novel because the screenplay is always different from the novel.
3183,5,"but floraine has a secret; the bombshell has a bombshell, which ""naissance de pieuvre"" reveal to the audience, visually, before she confide in marie.floraine has never gone, as they say, all the way, with a boy.at a party, we see a double-image of the burgeoning sex bomb checking her make-up in a bathroom mirror."
3265,1,recent adapted travesty's like 'intimacy' have ruined great writing.
3271,11,"those who want some substance with their style, look elsewhere."
3307,2,"all thing in life come together as one, and a river runs through it."
3321,14,"strangely, i understood their point."
3369,5,all much in the style back then.
3394,0,the wit and pace and three show stopping busby berkley number put this ahead of the over-rated 42nd street.
3426,5,"but these martian are totally inept, despite being well-equipped with an arsenal of suitably ghastly and deadly weapon"
3454,0,"nd as i am about to study film-making in canada of all place, i most certainly will bring this up in class."
3565,4,"she got cranky, upset, and unpleasant as the medium and the government continued their unrelenting witchhunt."
3579,0,i remember i was in allahabad when this movie was running and it was somewhere in march at holi time
3612,3,"""fear"" will soon be available on dvd."
3651,8,it begins as a slow-moving western but follows to surprise us with dark character and solid plot.
3658,4,"from the momant they meet, axel has a strong influence on egon, while the latter envy him because he has a good life without really doing anything (such as reading thick book like egon)"
3723,4,by this he decides to scope out seven new person who are in need of help badly who he in turns gives his life to
3730,0,"i have seen the premier in tel-aviv, israel in the summer of 2006, exactly when the last war has began..."
3826,2,just go onto the official site and the rest is simple enough.
3852,1,"please do not mantion marlon brando in the same breath of this man-see ""taxi driver"" for confirmation of this point"
3998,7,"i would be remiss in not recognizing cinematographer william h. daniel's contribution, particularly his superlative day-for-night, open-range photography."
4138,7,"by the end, i was on the edge of my seat breathlessly waiting to see how it would all wrap up"
4213,5,how they stuck together and they tried to help tim robbin character become smart.
4244,3,"since our airwave are filled with crap like american idol and dancing with the star, it was nice to see a drama that was not too soap opera like."
4330,8,him and allison narrow a list down and discover some of the offender have gone awol.
4331,14,perhaps poking fun at know-it-all british inspector who harm a case more than solve it
4572,4,"they had worked together in two 1929 paramount film, the canary murder case and the greene murder case, both in the philo vance series."
4919,12,"gypo's guilty mind has him getting himself royally and gloriously drunk, on the reward money, that by the time he is forced to to admit his crime to his irish republican army colleague, who had the almost dead drunk and slobbering gypo on trial, the money was just about gone in his partying drinking and whoring.whatever good feeling, if that is possible, that you had for the weak minded and strong shouldered gypo was completely demolished when in an act of total desperation, in order to keep from getting shot, he falsely implicate an innocent man mulligan, donald meek, in his crime of informing on his friend frankie mcphillip."
5039,3,it has four story all somewhat connected by a house.
